PC1,PC2,state,kmeans_cluster,gmm_cluster,gmm_conf
1.2101908627789126,-0.8422770850102437,Alabama,1,1,0.9867504831962511
2.3321869852472528,1.539434301601658,Alaska,1,1,0.9999926703280623
1.5185932829226092,0.5033628898413229,Arizona,1,1,0.9838396676176673
0.17777618676457593,-0.3280294574229177,Arkansas,0,0,0.9787802451923749
2.0660001906548033,1.2854969362925488,California,1,1,0.9999155210311663
1.276240142217258,1.4408879734886733,Colorado,1,1,0.9993324714481907
-1.643583472414184,-0.18041702682704763,Connecticut,0,0,0.9999999995731077
-0.07557234117593341,-0.41983034045538736,Delaware,0,0,0.9962723901737572
2.859470450992092,-0.4276158430913979,Florida,1,1,0.9996139260055685
1.8610475354965113,-0.8917356281936455,Georgia,1,1,0.9993263745295486
-1.315626358209816,0.5407214015105379,Hawaii,0,0,0.9999999732151558
-1.4841399289888473,0.15380218474244614,Idaho,0,0,0.9999999976494371
1.0905397686031468,-0.28224774925227564,Illinois,1,1,0.8694209142711241
-0.5186068649810371,0.20219205183288652,Indiana,0,0,0.9999522988424523
-2.1785322170503845,0.113535520197651,Iowa,0,0,0.9999999999995182
-0.8405271323038527,0.08095466229514506,Kansas,0,0,0.9999978450472229
-0.4836929496380545,-0.5116480735864973,Kentucky,0,0,0.9998525127640341
1.6614292766117698,-1.0602259897515787,Louisiana,1,1,0.9994243104439103
-2.196669915881047,-0.2528873127713619,Maine,0,0,0.9999999999995075
1.8090434767792503,-0.19077871419670547,Maryland,1,1,0.9929129414432497
-0.9050488868291948,0.04092025436189826,Massachusetts,0,0,0.9999988633543766
2.010167509364065,0.47088197651739694,Michigan,1,1,0.9971428780379272
-1.7836422255638293,0.3276936692646344,Minnesota,0,0,0.9999999999187603
1.5330314682485893,-1.622765394281721,Mississippi,1,1,0.9999828154402951
0.6224614329917826,0.4458292219155995,Missouri,1,0,0.6882475216316796
-0.9778188817814457,-0.04462858845382632,Montana,0,0,0.9999994379846587
-1.2532915813662424,0.19287602536659804,Nebraska,0,0,0.9999999687765824
2.6356440374500743,1.427855680044643,Nevada,1,1,0.9999910499307664
-2.289384019672327,-0.03546714272863177,New Hampshire,0,0,0.9999999999998854
-0.2805653269329547,-0.13598895298245336,New Jersey,0,0,0.9995861059156935
1.962152279337157,0.21508773812061444,New Mexico,1,1,0.9952573891785828
1.344131796485763,-0.19664739287452326,New York,1,1,0.9537608405419091
1.6308070293904904,-1.529437278494297,North Carolina,1,1,0.9999749253565093
-2.681451376434228,-0.0374273961535864,North Dakota,0,0,0.9999999999999996
-0.43023986714121826,0.2069359170375005,Ohio,0,0,0.9998940329125202
-0.37781069712855964,0.08969604384867766,Oklahoma,0,0,0.9998394384153343
-0.007560500025500799,1.0998916958657399,Oregon,0,0,0.9502859298535777
-1.04664911019595,-0.20632388585517986,Pennsylvania,0,0,0.9999996747369668
-1.3213065512847821,-0.6058410426544119,Rhode Island,0,0,0.9999999544933852
1.7648451617575065,-0.9877501004593873,South Carolina,1,1,0.9994193410332457
-1.6539987559872957,-0.03010391045662022,South Dakota,0,0,0.9999999996695066
1.1880357468402145,-0.21491254109857338,Tennessee,1,1,0.9081657564710618
1.13483841105316,-0.3102238453905222,Texas,1,1,0.8984215088887542
-0.8969731397560098,0.8469953030684256,Utah,0,0,0.999994264429245
-2.243305159285725,0.12546751657579705,Vermont,0,0,0.999999999999793
-0.04351552006580976,-0.09681327329375597,Virginia,0,0,0.99718318597887
-0.4126735404187241,0.9741889211073014,Washington,0,0,0.9990521882516626
-1.6377199694494968,-0.5611860424429395,West Virginia,0,0,0.9999999989277364
-2.175678638031322,0.027674368780903683,Wisconsin,0,0,0.9999999999995
-0.5330481039932157,-0.3491722454991135,Wyoming,0,0,0.9999376350261607
